# Symbol;Z;N;atomic_mass(MeV)
H;1;1;938.783
H;1;2;1876.12
H;1;3;2809.76
H;1;4;3751.9
H;1;5;4694.3
H;1;6;5630.83
He;2;3;2810.25
He;2;4;3728.44
He;2;5;4668.85
He;2;6;5606.56
He;2;7;6546.57
He;2;8;7483.55
He;2;9;8424.26
He;2;10;9363.75
Li;3;4;3751.29
Li;3;5;4669.15
Li;3;6;5603.05
Li;3;7;6535.36
Li;3;8;7472.9
Li;3;9;8408.4
Li;3;10;9348.01
Li;3;11;10287.2
Li;3;12;11228.0
Be;4;5;4695.47
Be;4;6;5607.34
Be;4;7;6536.23
Be;4;8;7456.9
Be;4;9;8394.79
Be;4;10;9327.52
Be;4;11;10266.6
Be;4;12;11203.0
Be;4;13;12143.0
Be;4;14;13080.8
B;5;7;6548.33
B;5;8;7474.88
B;5;9;8395.86
B;5;10;9326.96
B;5;11;10255.1
B;5;12;11191.3
B;5;13;12126.0
B;5;14;13064.6
B;5;15;14001.4
B;5;16;14941.0
B;5;17;15879.1
B;5;18;16819.2
B;5;19;17757.7
C;6;8;7487.05
C;6;9;8412.36
C;6;10;9330.68
C;6;11;10257.1
C;6;12;11177.9
C;6;13;12112.6
C;6;14;13043.9
C;6;15;13982.3
C;6;16;14917.6
C;6;17;15856.5
C;6;18;16791.9
C;6;19;17731.3
C;6;20;18667.4
C;6;21;19607.3
C;6;22;20545.5
N;7;10;9354.62
N;7;11;10271.4
N;7;12;11195.3
N;7;13;12114.7
N;7;14;13043.8
N;7;15;13972.5
N;7;16;14909.6
N;7;17;15843.2
N;7;18;16780.0
N;7;19;17714.2
N;7;20;18651.7
N;7;21;19586.6
N;7;22;20524.9
N;7;23;21462.1
N;7;24;22402.9
O;8;12;11210.0
O;8;13;12132.5
O;8;14;13048.9
O;8;15;13975.3
O;8;16;14899.2
O;8;17;15834.6
O;8;18;16766.1
O;8;19;17701.7
O;8;20;18633.7
O;8;21;19569.5
O;8;22;20502.2
O;8;23;21439.0
O;8;24;22374.9
O;8;25;23314.5
O;8;26;24254.0
F;9;14;13074.5
F;9;15;13989.2
F;9;16;14914.6
F;9;17;15837.4
F;9;18;16767.7
F;9;19;17696.9
F;9;20;18629.9
F;9;21;19561.3
F;9;22;20495.7
F;9;23;21427.7
F;9;24;22363.4
F;9;25;23298.6
F;9;26;24237.1
F;9;27;25175.4
F;9;28;26115.1
F;9;29;27053.7
Ne;10;16;14927.9
Ne;10;17;15851.9
Ne;10;18;16772.2
Ne;10;19;17700.2
Ne;10;20;18622.8
Ne;10;21;19555.6
Ne;10;22;20484.9
Ne;10;23;21419.2
Ne;10;24;22349.9
Ne;10;25;23285.3
Ne;10;26;24219.3
Ne;10;27;25157.4
Ne;10;28;26093.1
Ne;10;29;27031.3
Ne;10;30;27967.1
Ne;10;31;28907.1
Ne;10;32;29845.0
Na;11;18;16792.2
Na;11;19;17711.3
Na;11;20;18636.7
Na;11;21;19559.2
Na;11;22;20487.7
Na;11;23;21414.9
Na;11;24;22347.5
Na;11;25;23278.0
Na;11;26;24212.0
Na;11;27;25144.7
Na;11;28;26080.8
Na;11;29;27015.9
Na;11;30;27953.4
Na;11;31;28889.0
Na;11;32;29826.1
Na;11;33;30764.8
Na;11;34;31703.3
Na;11;35;32643.5
Mg;12;20;18647.5
Mg;12;21;19572.3
Mg;12;22;20492.5
Mg;12;23;21418.9
Mg;12;24;22341.9
Mg;12;25;23274.1
Mg;12;26;24202.6
Mg;12;27;25135.7
Mg;12;28;26066.8
Mg;12;29;27002.7
Mg;12;30;27936.0
Mg;12;31;28873.1
Mg;12;32;29807.1
Mg;12;33;30744.5
Mg;12;34;31679.3
Mg;12;35;32618.6
Mg;12;36;33554.7
Mg;12;37;34494.3
Al;13;21;19587.5
Al;13;22;20511.0
Al;13;23;21431.2
Al;13;24;22355.8
Al;13;25;23278.4
Al;13;26;24206.6
Al;13;27;25133.1
Al;13;28;26065.0
Al;13;29;26995.1
Al;13;30;27929.0
Al;13;31;28861.3
Al;13;32;29796.7
Al;13;33;30730.8
Al;13;34;31667.9
Al;13;35;32602.2
Al;13;36;33539.7
Al;13;37;34474.9
Al;13;38;35412.5
Al;13;39;36348.7
Si;14;22;20525.0
Si;14;23;21448.1
Si;14;24;22366.6
Si;14;25;23291.2
Si;14;26;24211.7
Si;14;27;25137.9
Si;14;28;26060.3
Si;14;29;26991.4
Si;14;30;27920.4
Si;14;31;28853.4
Si;14;32;29783.7
Si;14;33;30718.8
Si;14;34;31650.9
Si;14;35;32587.9
Si;14;36;33521.4
Si;14;37;34458.8
Si;14;38;35393.0
Si;14;39;36330.4
Si;14;40;37265.2
Si;14;41;38203.1
Si;14;42;39137.7
P;15;24;22387.8
P;15;25;23306.3
P;15;26;24229.8
P;15;27;25149.6
P;15;28;26074.7
P;15;29;26996.4
P;15;30;27924.6
P;15;31;28851.9
P;15;32;29783.5
P;15;33;30712.9
P;15;34;31646.2
P;15;35;32577.4
P;15;36;33513.6
P;15;37;34446.3
P;15;38;35382.3
P;15;39;36315.6
P;15;40;37251.5
P;15;41;38186.4
P;15;42;39122.8
P;15;43;40057.3
P;15;44;40995.0
P;15;45;41931.3
P;15;46;42870.9
S;16;26;24244.8
S;16;27;25167.9
S;16;28;26085.9
S;16;29;27010.2
S;16;30;27930.8
S;16;31;28857.3
S;16;32;29781.8
S;16;33;30712.8
S;16;34;31640.9
S;16;35;32573.4
S;16;36;33503.1
S;16;37;34438.4
S;16;38;35369.9
S;16;39;36305.1
S;16;40;37236.9
S;16;41;38172.6
