# =======================================================
###   Simple Materials from the NIST Data Base      ###
# =======================================================
# Z   Name   density(g/cm^3)  I(eV)
#=======================================================
# Ошибка в нумерации GEANT4 уменьшить Z на единицу
 2   G4_H    8.3748e-05       19.2
 3  G4_He   0.000166322       41.8
 4  G4_Li         0.534         40
 5  G4_Be         1.848       63.7
 6   G4_B          2.37         76
 7   G4_C             2         81
 8   G4_N     0.0011652         82
 9   G4_O    0.00133151         95
10   G4_F    0.00158029        115
11  G4_Ne   0.000838505        137
12  G4_Na         0.971        149
13  G4_Mg          1.74        156
14  G4_Al         2.699        166
15  G4_Si          2.33        173
16   G4_P           2.2        173
17   G4_S             2        180
18  G4_Cl    0.00299473        174
19  G4_Ar    0.00166201        188
20   G4_K         0.862        190
21  G4_Ca          1.55        191
22  G4_Sc         2.989        216
23  G4_Ti          4.54        233
24   G4_V          6.11        245
25  G4_Cr          7.18        257
26  G4_Mn          7.44        272
27  G4_Fe         7.874        286
28  G4_Co           8.9        297
29  G4_Ni         8.902        311
30  G4_Cu          8.96        322
31  G4_Zn         7.133        330
32  G4_Ga         5.904        334
33  G4_Ge         5.323        350
34  G4_As          5.73        347
35  G4_Se           4.5        348
36  G4_Br     0.0070721        343
37  G4_Kr    0.00347832        352
38  G4_Rb         1.532        363
39  G4_Sr          2.54        366
40   G4_Y         4.469        379
41  G4_Zr         6.506        393
42  G4_Nb          8.57        417
43  G4_Mo         10.22        424
44  G4_Tc          11.5        428
45  G4_Ru         12.41        441
46  G4_Rh         12.41        449
47  G4_Pd         12.02        470
48  G4_Ag          10.5        470
49  G4_Cd          8.65        469
50  G4_In          7.31        488
51  G4_Sn          7.31        488
52  G4_Sb         6.691        487
53  G4_Te          6.24        485
54   G4_I          4.93        491
55  G4_Xe    0.00548536        482
56  G4_Cs         1.873        488
57  G4_Ba           3.5        491
58  G4_La         6.154        501
59  G4_Ce         6.657        523
60  G4_Pr          6.71        535
61  G4_Nd           6.9        546
62  G4_Pm          7.22        560
63  G4_Sm          7.46        574
64  G4_Eu         5.243        580
65  G4_Gd        7.9004        591
66  G4_Tb         8.229        614
67  G4_Dy          8.55        628
68  G4_Ho         8.795        650
69  G4_Er         9.066        658
70  G4_Tm         9.321        674
71  G4_Yb          6.73        684
72  G4_Lu          9.84        694
73  G4_Hf         13.31        705
74  G4_Ta        16.654        718
75   G4_W          19.3        727
76  G4_Re         21.02        736
77  G4_Os         22.57        746
78  G4_Ir         22.42        757
79  G4_Pt         21.45        790
80  G4_Au         19.32        790
81  G4_Hg        13.546        800
82  G4_Tl         11.72        810
83  G4_Pb         11.35        823
84  G4_Bi         9.747        823
85  G4_Po          9.32        830
86  G4_At          9.32        825
87  G4_Rn    0.00900662        794
88  G4_Fr             1        827
89  G4_Ra             5        826
90  G4_Ac         10.07        841
91  G4_Th         11.72        847
92  G4_Pa         15.37        878
93   G4_U         18.95        890
94  G4_Np         20.25        902
95  G4_Pu         19.84        921
96  G4_Am         13.67        934
97  G4_Cm         13.51        939
98  G4_Bk            14        952
99  G4_Cf            10        966
